"Enrichment.FDR";"Genes.in.list";"Total.genes";"Functional.Category";"Genes";"species";"feature"
6.67107440687736e-48;117;1661;"Organic substance catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G13440 AT1G16300 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G48430 AT1G53850 AT1G56450 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT1G79530 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G04120 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G17770 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13930 AT4G14800 AT4G15165 AT4G19006 AT4G19720 AT4G19730 AT4G19750 AT4G19760 AT4G19800 AT4G19810 AT4G19820 AT4G23520 AT4G24820 AT4G28470 AT4G31300 AT4G32520 AT4G37930 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G26780 AT5G35590 AT5G40290 AT5G40580 AT5G42740 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G53750 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT3G05630 AT3G16785 AT4G29040 AT4G34210 AT4G34470 AT5G19990 AT5G20000 AT5G42190 AT5G58290 AT1G63900 AT2G41110";"A. thaliana";"AID"
4.09273558891287e-47;67;437;"Ubiquitin-dependent protein catabolic process ";"AT1G02980 AT1G04810 AT1G13060 AT1G20200 AT1G21720 AT1G29150 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G75990 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT3G11270 AT3G14290 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G53970 AT3G60820 AT4G02570 AT4G14800 AT4G15165 AT4G19006 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G05780 AT5G09900 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G75950 AT4G34210 AT4G34470 AT5G42190 AT4G29040 AT1G65350 AT2G47110 AT3G09790 AT4G02890 AT4G05050 AT4G05320 AT5G03240 AT5G20620";"A. thaliana";"AID"
1.73771586614147e-45;121;1888;"Catabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G13060 AT1G13440 AT1G16300 AT1G20200 AT1G21720 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G48430 AT1G53850 AT1G56450 AT1G60490 AT1G64520 AT1G65350 AT1G75990 AT1G77440 AT1G79530 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT2G34080 AT2G36170 AT2G47110 AT3G04120 AT3G09790 AT3G11270 AT3G13330 AT3G14290 AT3G17770 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G52590 AT3G53970 AT3G60820 AT3G61960 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13930 AT4G14800 AT4G15165 AT4G19006 AT4G19720 AT4G19730 AT4G19750 AT4G19760 AT4G19800 AT4G19810 AT4G19820 AT4G23520 AT4G24820 AT4G28470 AT4G29380 AT4G31300 AT4G32520 AT4G37930 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G20620 AT5G23540 AT5G26780 AT5G35590 AT5G40290 AT5G40580 AT5G42740 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G50260 AT5G64760 AT5G66140 AT1G16890 AT1G64230 AT1G78870 AT2G16740 AT3G08690 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G09100 AT1G53750 AT1G75950 AT2G20140 AT3G05520 AT3G05530 AT3G05630 AT3G16785 AT4G29040 AT4G34210 AT4G34470 AT5G19990 AT5G20000 AT5G42190 AT5G58290 AT1G63900 AT1G73190 AT2G41110";"A. thaliana";"AID"
1.78434576346951e-39;30;55;"Positive regulation of protein complex assembly ";"AT1G09100 AT1G20090 AT1G30825 AT1G45000 AT1G53750 AT1G60430 AT1G75840 AT2G17800 AT2G30910 AT2G31300 AT2G33385 AT2G44690 AT3G05530 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G19990 AT5G20000 AT5G43010 AT5G45970 AT5G58290 AT5G62880 AT1G13180 AT3G27000 AT4G14147 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AID"
3.06921232721507e-39;23;25;"Proteasomal ubiquitin-independent protein catabolic process ";"AT1G13060 AT1G21720 AT1G47250 AT1G53850 AT1G56450 AT1G77440 AT2G05840 AT2G27020 AT3G13330 AT3G14290 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G60820 AT4G14800 AT4G15165 AT4G31300 AT5G35590 AT5G40580 AT5G42790 AT5G66140";"A. thaliana";"AID"
1.24551994715137e-37;31;68;"Positive regulation of cellular component biogenesis ";"AT1G09100 AT1G20090 AT1G30825 AT1G45000 AT1G53750 AT1G60430 AT1G75840 AT2G17800 AT2G30910 AT2G31300 AT2G33385 AT2G44690 AT3G05530 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G19990 AT5G20000 AT5G43010 AT5G45970 AT5G58290 AT5G62880 AT1G13180 AT3G27000 AT4G14147 AT1G08410 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AID"
1.13534420331509e-34;46;262;"Proteasomal protein catabolic process ";"AT1G02980 AT1G04810 AT1G13060 AT1G21720 AT1G45000 AT1G47250 AT1G53850 AT1G56450 AT1G64520 AT1G77440 AT2G05840 AT2G20580 AT2G27020 AT2G32730 AT3G11270 AT3G13330 AT3G14290 AT3G22110 AT3G22630 AT3G26340 AT3G27430 AT3G51260 AT3G60820 AT4G02570 AT4G14800 AT4G15165 AT4G24820 AT4G28470 AT4G31300 AT4G38630 AT5G05780 AT5G09900 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G64760 AT5G66140 AT3G53970 AT1G09100 AT2G20140 AT3G05520 AT3G05530 AT4G29040 AT5G58290";"A. thaliana";"AID"
3.03766479417446e-34;47;284;"Cytoskeleton organization ";"AT1G20010 AT1G20090 AT1G30825 AT1G60430 AT1G75780 AT1G75840 AT2G04750 AT2G17800 AT2G22640 AT2G29550 AT2G30910 AT2G31300 AT2G33385 AT2G35110 AT2G44690 AT3G05520 AT3G48040 AT3G51300 AT4G20890 AT4G26700 AT4G28950 AT4G35020 AT4G35950 AT5G12250 AT5G23860 AT5G35700 AT5G44340 AT5G45970 AT5G48460 AT5G55400 AT5G62880 AT1G13180 AT2G37620 AT3G05530 AT3G12110 AT3G18780 AT3G27000 AT3G46520 AT3G53750 AT4G14147 AT5G09810 AT5G59370 AT5G62690 AT5G62700 AT1G75950 AT4G01370 AT5G18410";"A. thaliana";"AID"
5.37060788855721e-34;161;4203;"Cellular protein metabolic process ";"AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G10450 AT1G13060 AT1G16890 AT1G18350 AT1G20200 AT1G21720 AT1G23260 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G47710 AT1G53850 AT1G56450 AT1G60490 AT1G61950 AT1G62170 AT1G64030 AT1G64520 AT1G65350 AT1G70660 AT1G75990 AT1G77440 AT1G78870 AT2G05840 AT2G14540 AT2G20580 AT2G25240 AT2G26390 AT2G27020 AT2G28590 AT2G32730 AT2G34080 AT2G35580 AT2G36060 AT2G36170 AT2G41970 AT2G47060 AT2G47110 AT3G07110 AT3G09010 AT3G09790 AT3G10540 AT3G11270 AT3G13330 AT3G14290 AT3G17410 AT3G17420 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G24830 AT3G26340 AT3G27430 AT3G45220 AT3G51260 AT3G52560 AT3G52590 AT3G53970 AT3G60820 AT3G61960 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13170 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G26070 AT4G28470 AT4G29380 AT4G29810 AT4G31300 AT4G33410 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G18410 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G48760 AT5G50260 AT5G56580 AT5G64350 AT5G64760 AT5G66140 AT1G59580 AT1G63900 AT1G64230 AT2G16740 AT2G43790 AT2G46070 AT3G08690 AT3G23610 AT3G45640 AT3G53030 AT4G01370 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G01560 AT1G07880 AT1G09100 AT1G10210 AT1G59560 AT1G71860 AT1G75950 AT2G07180 AT2G18170 AT2G20140 AT2G26290 AT2G42880 AT3G02080 AT3G02190 AT3G05520 AT3G05530 AT3G06110 AT3G16560 AT3G44850 AT3G59790 AT4G11330 AT4G13020 AT4G29040 AT4G31985 AT4G34210 AT4G34470 AT4G36450 AT5G01020 AT5G01060 AT5G05420 AT5G15520 AT5G22840 AT5G28290 AT5G42190 AT5G58290 AT5G61170 AT3G12580";"A. thaliana";"AID"
5.78483304296477e-34;170;4644;"Protein metabolic process ";"AT1G01650 AT1G02300 AT1G02305 AT1G02980 AT1G04810 AT1G06260 AT1G09850 AT1G10450 AT1G13060 AT1G16890 AT1G18350 AT1G20200 AT1G21720 AT1G23260 AT1G23410 AT1G29090 AT1G29150 AT1G45000 AT1G47250 AT1G47710 AT1G53850 AT1G56450 AT1G60490 AT1G61950 AT1G62170 AT1G63690 AT1G64030 AT1G64520 AT1G65350 AT1G70660 AT1G75990 AT1G77440 AT1G78870 AT2G05840 AT2G14540 AT2G20580 AT2G25240 AT2G26390 AT2G27020 AT2G28590 AT2G32730 AT2G34080 AT2G35580 AT2G36060 AT2G36170 AT2G41970 AT2G43070 AT2G47060 AT2G47110 AT3G07110 AT3G09010 AT3G09790 AT3G10540 AT3G11270 AT3G13330 AT3G14290 AT3G17410 AT3G17420 AT3G19390 AT3G19400 AT3G22110 AT3G22630 AT3G24830 AT3G26340 AT3G27430 AT3G45220 AT3G51260 AT3G52560 AT3G52590 AT3G53970 AT3G60820 AT3G61960 AT3G62250 AT4G01610 AT4G02570 AT4G02890 AT4G05050 AT4G05320 AT4G11310 AT4G11320 AT4G13170 AT4G14800 AT4G15165 AT4G19006 AT4G23520 AT4G24820 AT4G26070 AT4G28470 AT4G29380 AT4G29810 AT4G31300 AT4G33410 AT4G38630 AT5G03240 AT5G05780 AT5G09900 AT5G18410 AT5G20620 AT5G23540 AT5G35590 AT5G40580 AT5G42790 AT5G43010 AT5G45620 AT5G45890 AT5G48760 AT5G50260 AT5G56580 AT5G64350 AT5G64760 AT5G66140 AT1G59580 AT1G63900 AT1G64230 AT2G16740 AT2G43790 AT2G46070 AT3G08690 AT3G23610 AT3G45640 AT3G53030 AT4G01370 AT4G27960 AT5G41700 AT5G50870 AT5G53300 AT5G56150 AT1G01560 AT1G07880 AT1G09100 AT1G10210 AT1G53750 AT1G59560 AT1G71860 AT1G75950 AT2G07180 AT2G18170 AT2G20140 AT2G26290 AT2G42880 AT3G02080 AT3G02190 AT3G05520 AT3G05530 AT3G06110 AT3G16560 AT3G44850 AT3G59790 AT4G11330 AT4G13020 AT4G29040 AT4G31985 AT4G34210 AT4G34470 AT4G36450 AT4G36880 AT5G01020 AT5G01060 AT5G05420 AT5G15520 AT5G19990 AT5G20000 AT5G22840 AT5G24260 AT5G28290 AT5G42190 AT5G58290 AT5G61170 AT3G12580 AT2G41110";"A. thaliana";"AID"
1.97830376815813e-33;24;39;"Water transport ";"AT1G01620 AT2G36830 AT2G37170 AT2G45960 AT3G16240 AT3G53420 AT3G61430 AT1G17810 AT1G73190 AT1G80760 AT2G16850 AT2G25810 AT2G37180 AT2G39010 AT3G26520 AT3G47440 AT4G17340 AT4G23400 AT4G35100 AT5G47450 AT5G60660 AT3G11820 AT3G54820 AT4G00430";"A. thaliana";"AID"
1.97830376815813e-33;24;39;"Fluid transport ";"AT1G01620 AT2G36830 AT2G37170 AT2G45960 AT3G16240 AT3G53420 AT3G61430 AT1G17810 AT1G73190 AT1G80760 AT2G16850 AT2G25810 AT2G37180 AT2G39010 AT3G26520 AT3G47440 AT4G17340 AT4G23400 AT4G35100 AT5G47450 AT5G60660 AT3G11820 AT3G54820 AT4G00430";"A. thaliana";"AID"
8.60402062421345e-32;22;33;"Positive regulation of actin filament polymerization ";"AT1G20090 AT1G30825 AT1G60430 AT1G75840 AT2G17800 AT2G30910 AT2G31300 AT2G33385 AT2G44690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G13180 AT3G27000 AT4G14147 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AID"
